City,log_numbers,Total_numbers,Population,percentage
Buenos Aires,13,342653,17196396, 0.02 
Córdoba,10,15674,3683937, 0.00 
Catamarca,5,136,408152, 0.00 
Chaco,9,6879,1180477, 0.01 
Chubut,8,2278,598380, 0.00 
,12,190563,3068043, 0.06 
Corrientes,7,789,1101084, 0.00 
Entre Ríos,9,5617,1360443, 0.00 
Formosa,5,111,595129, 0.00 
Jujuy,9,12730,753891, 0.02 
La Pampa,6,463,352378, 0.00 
La Rioja,8,4052,383220, 0.01 
Mendoza,10,15993,1949293, 0.01 
Misiones,4,66,1233177, 0.00 
Neuquén,9,5761,646784, 0.01 
Río Negro,9,9202,728403, 0.01 
Salta,9,7180,1388532, 0.01 
San Juan,6,445,764464, 0.00 
San Luis,6,585,495629, 0.00 
Santa Cruz,8,3404,347593, 0.01 
Santa Fe,10,20522,3481514, 0.01 
Santiago del Estero,8,2049,958251, 0.00 
Tierra del Fuego,8,2430,164944, 0.01 
Tucumán,9,8664,1654388, 0.01 
